Timestamp,Movement,Sensor
63260.616,NBT,0
63261.418,WBL,0
63262.81,NBT,0
63265.022,WBL,0
63265.625,NBT,0
63265.625,NBT,1
63266.111,NBT,0
63266.325,NBR,0
63273.82,WBL,0
63276.239,WBL,0
63281.34,WBR,0
63282.034,WBL,0
63292.655,EBL,0
63293.256,EBL,1
63294.76,EBT,1
63294.854,EBL,1
63296.258,EBT,1
63298.963,EBT,1
63300.452,EBT,1
63300.659,EBL,1
63302.582,EBT,1
63302.955,EBL,1
63304.666,EBT,1
63305.269,EBL,1
63307.158,EBT,1
63309.967,EBT,1
63312.568,EBT,1
63314.58,EBT,1
63316.467,EBT,1
63320.683,EBT,1
63323.687,WBL,0
63324.186,EBT,1
63331.682,NBR,0
63334.501,NBR,0
63334.998,EBL,0
63335.595,EBL,1
63337.704,NBT,0
63338.6,NBT,0
63338.892,WBL,0
63340.007,NBT,1
63340.402,NBT,0
63341.001,NBT,0
63342.903,NBT,0
63343.003,EBL,1
63343.107,NBT,1
63343.711,NBT,0
63345.109,NBT,0
63345.31,EBL,1
63347.013,NBT,1
63347.514,NBT,0
63348.508,NBT,1
63349.315,NBT,0
63351.619,NBT,1
63352.114,NBT,0
63353.017,WBL,0
63355.407,NBT,0
63357.219,EBL,1
63369.322,WBR,0
63369.726,WBL,0
63370.229,WBR,0
63375.533,WBL,0
63377.533,EBL,0
63378.04,EBL,1
63383.245,EBL,1
63385.249,EBT,1
63387.145,EBT,1
63393.372,EBT,1
63393.451,EBL,1
63393.451,WBL,0
63395.955,EBT,1
63396.158,WBL,0
63396.856,EBL,1
63397.358,EBT,1
63399.764,EBT,1
63403.452,EBT,1
63406.161,EBT,1
63406.662,WBL,0
63408.068,EBT,1
63410.571,EBT,1
63411.772,EBL,0
63412.174,EBL,1
63413.777,EBT,1
63417.377,WBL,0
63418.167,NBR,0
63422.374,EBL,0
63422.485,WBL,0
63426.183,WBL,0
63428.689,NBT,0
63430.296,NBT,0
63430.393,NBT,1
63430.893,NBT,0
63432.294,NBT,0
63433.891,NBT,1
63434.295,WBL,0
63434.401,NBT,0
63436.701,NBT,1
63437.186,NBT,0
63438.502,NBT,1
63438.502,NBT,0
63438.987,NBT,0
63441.001,NBT,1
63441.392,NBT,0
63442.796,NBT,1
63443.1,EBL,1
63443.36,NBT,0
63447.0,EBL,1
63448.615,EBL,1
63449.904,WBL,0
63455.808,WBR,0
63456.614,WBR,0
63458.018,NBR,0
63458.614,WBR,0
63460.113,WBR,0
63460.327,WBL,0
63461.927,EBL,0
63464.125,EBL,1
63465.528,EBL,0
63465.728,EBL,1
63467.834,EBL,0
63468.335,EBL,1
63472.243,EBL,0
63472.742,EBL,1
63474.04,EBT,1
63476.249,EBT,1
63477.634,WBL,0
63477.844,EBT,1
63479.635,EBT,1
63482.141,EBT,1
63484.549,EBT,1
63486.648,EBT,1
63487.443,EBL,1
63488.556,EBT,1
63493.263,EBT,1
63493.956,EBT,1
63496.96,EBT,1
63498.765,EBT,1
63500.463,EBT,1
63502.772,EBT,1
63505.274,EBT,1
63508.377,EBT,1
63509.376,WBL,0
63510.972,EBT,1
63512.281,WBL,0
63512.782,NBR,0
63516.674,EBL,1
63521.392,EBT,1
63523.684,EBT,1
63526.897,NBR,0
63527.302,EBL,1
63531.201,EBL,1
63531.586,EBL,1
63532.594,EBT,1
63535.704,WBL,0
63537.206,EBT,1
63538.705,WBL,0
63549.213,NBT,0
63550.814,EBL,0
63551.225,NBT,0
63552.11,EBL,1
63552.923,NBT,0
63553.614,NBT,0
63554.022,NBT,1
63554.52,NBT,0
63554.818,NBT,1
63555.119,NBT,0
63557.314,NBT,0
63558.828,NBT,1
63559.43,NBT,0
63559.815,EBL,0
63560.125,EBL,1
63561.032,NBT,0
63562.52,NBT,0
63564.83,NBT,0
63566.442,EBL,0
63566.633,EBL,1
63566.831,NBT,0
63570.239,EBL,0
63570.627,EBL,1
63573.844,NBT,0
63576.644,NBT,0
63577.848,NBR,0
63578.049,NBT,1
63578.751,NBT,0
63579.345,WBL,0
63580.145,NBR,0
63582.254,WBL,0
63583.258,NBT,1
63583.556,NBT,0
63584.849,WBL,0
63587.348,WBL,0
63596.57,WBR,0
63596.858,WBR,0
63606.663,EBL,0
63607.571,EBL,1
63609.283,EBL,1
63609.879,EBL,0
63610.484,EBL,1
63612.281,EBT,1
63614.478,EBT,1
63616.987,EBT,1
63620.284,EBT,1
63621.791,EBT,1
63624.891,EBT,1
63630.094,EBT,1
63632.004,EBT,1
63634.305,EBT,1
63634.8,WBL,0
63636.911,WBL,0
63642.211,NBR,0
63646.119,WBL,0
63649.519,NBT,1
63650.024,NBT,0
63651.618,NBT,1
63652.023,NBT,0
63656.934,WBR,0
63665.242,WBL,0
63666.944,WBR,0
63674.154,EBL,1
63676.75,WBL,0
63676.75,EBL,1
63678.853,EBL,1
63679.349,EBT,1
63683.657,EBT,1
63684.469,EBL,1
63685.768,EBT,1
63686.864,EBL,1
63687.27,EBT,1
63688.959,EBT,1
63690.564,EBT,1
63692.159,EBT,1
63694.161,EBT,1
63695.48,EBL,0
63695.868,EBL,1
63697.477,EBT,1
63698.571,WBL,0
63702.977,EBL,1
63703.585,WBL,0
63703.975,EBT,1
63706.38,WBL,0
63709.094,NBR,0
63712.791,WBL,0
63713.794,EBL,1
63718.387,NBT,0
63718.896,NBT,0
63719.093,WBL,0
63719.485,NBT,1
63719.985,NBT,0
63721.196,NBT,0
63721.396,NBT,0
63723.093,WBL,0
63723.595,NBT,0
63724.491,NBT,0
63725.303,NBT,1
63725.592,NBT,0
63726.399,NBT,0
63728.0,EBL,0
63728.096,NBT,0
63728.397,EBL,1
63728.397,NBT,0
63730.697,NBT,0
63731.509,NBT,0
63731.909,NBT,0
63733.702,NBT,0
63734.504,WBL,0
63734.899,NBT,0
63744.219,WBL,0
63746.618,WBR,0
63746.73,WBR,0
63746.815,WBL,0
63748.215,NBR,0
63748.321,WBR,0
63749.024,WBL,0
63749.429,WBR,0
63751.624,WBR,0
63752.025,WBL,0
63755.037,WBL,0
63763.737,WBL,0
63764.535,EBL,1
63764.832,EBT,1
63768.444,EBT,1
63770.152,EBL,1
63770.453,EBT,1
63771.552,WBL,0
63773.446,EBT,1
63774.259,WBL,0
63775.653,EBT,1
63777.76,EBL,1
63778.354,WBL,0
63780.064,EBT,1
63781.663,WBL,0
63782.05,EBT,1
63783.766,EBT,1
63786.367,EBT,1
63787.966,EBT,1
63790.567,EBT,1
63792.167,EBT,1
63793.465,WBL,0
63794.28,EBT,1
63795.669,WBL,0
63798.176,WBL,0
63800.175,EBL,1
63801.484,NBR,0
63802.786,WBL,0
63807.678,NBT,0
63809.181,NBT,0
63810.09,NBT,1
63810.287,NBT,1
63810.484,NBT,0
63810.686,NBT,0
63811.09,EBL,1
63811.69,NBR,0
63812.482,NBT,0
63813.792,NBT,1
63814.189,NBT,0
63814.391,NBT,0
63816.384,NBT,0
63818.791,NBT,0
63828.704,EBL,0
63828.805,EBL,1
63829.805,WBL,0
63832.095,NBT,0
63832.207,NBT,0
63832.907,WBL,0
63834.603,NBT,0
63837.513,NBT,1
63837.703,NBT,0
63837.703,WBL,0
63837.807,NBT,0
63839.31,EBL,1
63840.03,WBL,0
63840.204,NBT,0
